,Date,Tweet
0,2020-12-15 17:15:36+00:00,b'Awwwwwww akhirnya #StartUpEp16'
1,2020-01-05 00:43:01+00:00,"b""Don't miss hotel deals like these! Our price discovery engine works 24/7 to bring you the best hotel deals. Get FREE alerts now. https://t.co/3TyQ0ci8FT https://t.co/sNe7kutrxI"""
2,2020-12-15 13:11:00+00:00,b'Gaes penonton #StartUpEp16 #StartUpEp15 #startupep14 #StartUpEp9 episode berapa sih yg membuat kalian lebih semangat menjlani hidup... yg pesanny kek nyes banget.. soalny aku mau buat konten nih.... aku bingung..'
3,2020-12-15 02:58:45+00:00,b'Hayuu vaksin ya..\n\n#awalidengantaubat  #StartUpEp16 #MaksiatSelaluBikinKehancuran #dingin\n#Dukungpemerintahatasicovid19\n#dukungkemajuanbangsa \n#dukungpemerintah\n#pemerintah #pandemi #InvestorPeduliNasibRakyat #Papua #PapuaNKRI #NKRI #2020Wrapped #SahabatBahari #pilkada2020 #COVID https://t.co/51ESRNFdRg'
4,2020-12-14 23:39:39+00:00,"b""Ya Rabbi... Stasiun berita bisa bahas drakor jga ternyata \xe2\x95\xa5\xef\xb9\x8f\xe2\x95\xa5\nPenting ya bahas kubu mana :') #petahanan atau #oposisi (?) \n\nApa kabar harga bahan pokok naik? (\xef\xbc\xb4\xe2\x96\xbd\xef\xbc\xb4) \n\n#XKWavers #demokrasiracuniperadaban #Xschool2021 #StartUpEp16 https://t.co/xVfHlYWzGP"""
5,2020-12-14 15:04:17+00:00,b'Akhirnya beres nonton #StartUpEp16 dan tetap istiqomah menjadi tim nam dosan \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb'
6,2020-12-14 11:37:27+00:00,"b'Bru abis cite Start Up smlm, ending tu aku mmg dh redha sngat2 dh.. Tpi satu prkara yg aku tak puas hati nya, si jeong sa-ha ckp nk ngaku yg chul san tu bf dia, tpi smpai akhir heret cite ckp nk buat.. Aku nk tngok jgak reaction kwan diorang cmne.. \n#StartUpEp16'"
7,2020-12-14 11:33:31+00:00,b'Baru bisa nonton endingnya skrg krna kemarin spoilernya jipyeong ttp jd sadboy jadi males nonton.\nTapi setelah nonton endingnya ternyata memuaskan sih. \nJipyeong bahagia dengan caranya sendiri walau tanpa dalmi \nAnak baik \xf0\x9f\xa5\xb0\xf0\x9f\xa5\xb0\n#StartUpEp16 https://t.co/zbKBNXpbJi'
8,2020-12-14 07:01:43+00:00,"b'Ternyata baju mereka sama ya wkwk\n#ThePenthouse \n#StartUp\n#TheKingEternalMonarch \n#ThePenthouseEp11\n#StartUpEp16\n#TheKingEternalMonarchEp15 \n\nAku selama ini overthinking habis liat start up ep 1, eh kok kek pernah liat bajunya in jae tp dimana ya?oh ternyata \xf0\x9f\xa4\xa3 https://t.co/k3BIL2IfPg'"
9,2020-12-14 04:09:36+00:00,b'Takleh move on lagi laaaaa \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x92\x95\xf0\x9f\x92\x9e\xf0\x9f\x92\x93\xf0\x9f\x92\x96\xf0\x9f\x92\x98\xf0\x9f\x92\x9d #StartUpEp16 #StartUp #KimSeonHo #Suzy #HanJiPyeong #SeoDalMi #NamDoSan #NamJooHyuk #KangHanNa https://t.co/xPfSJ8Zj2s'
10,2020-12-14 00:24:50+00:00,b'Tolooong..aku ga bisa ketawa sendirian liat ini \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\n#timjipyeong \n#StartUpEp16 \n#KimSeonHo \n#Jipyeong https://t.co/n6ebxp6xih'
11,2020-12-13 17:19:17+00:00,b'@YEOJlNGO \xe2\x98\x85 : kalo diinget masih aja bikin ketawa pas scene pertemuannya han timjangnim sama yeongsil wkwk. semoga jingoo sukses selalu ya! \n\n#YeoJingoo on #StartUpEp16 is real'
12,2020-12-13 17:17:51+00:00,b'@YEOJlNGO Mau coba kali aja hoki.\n\n#YeoJingoo on #StartUpEp16 is real\xf0\x9f\xa4\x97'
13,2020-12-13 14:01:32+00:00,b'Udah bisa move on dari #StartUpEp15 &amp;\n#StartUpEp16 kok.\n\nSekarang bermaksud mantengin #MrQueenEp1 nya #KimJungHyun &amp; #ShinHyeSun yg bikin \xf0\x9f\x98\x86\n\nTapi tadi ga sengaja nemu spoiler #StartUpEp17 \xf0\x9f\x98\xad\nKan jadi baper akutu.\n\nBaca ini deh\nhttps://t.co/NgxrzZWDHB'
14,2020-12-13 13:10:34+00:00,b'Jika tokoh drama #Startup investasi di aset crypto mereka pilih aset apa ya? \nYuk kita ulas! \n\n#StartUpEp16 #HanJiPyeong\n#SeoDalmi #NamDoSan https://t.co/aqTISFEKBy'
15,2020-12-13 08:34:47+00:00,b'Yeo jin-goo... omo. \n\n#StartUpEp16'
16,2020-12-13 06:38:04+00:00,b'Ji-pyeong ah \xf0\x9f\xa5\xba\n\n#StartUpEp16 https://t.co/6yTWeMO7Hi'
17,2020-12-13 05:33:26+00:00,b'Bangke ini #StartUpEp16 sampe ga sadar keluar air mata gara2 In-Jae balik lagi jd marga seo ketika nenek nya udh gabisa ngeliat dia.'
18,2020-12-12 15:42:44+00:00,b'Han ji pyeong menjalani masa tua ~\n#StartUpEp16 \n#StartUp\n#korea\n#sandbox \n#timhanjipyeong https://t.co/DioznxyNwU'
19,2020-12-12 15:18:33+00:00,b'YEEAAAYY AKU BERHASIL NAMATIN SEMUA INI . . . #sambilmewek #StartUpEp16 https://t.co/4okYzj1LxG'
20,2020-12-12 15:06:13+00:00,"b'Ya Tuhan baru abis marathon nonton #UncannyCounter \nBuagguss buanget\nGenre thriller fantasy,karakter\xc2\xb2nya unik,ada ahjussi rasa Oppa,ada God-Sejeong yg makin cool aktingnya\xf0\x9f\xa5\xb0\nAlur male leadnya mirip Peter Parker cm lebih mistis lol\nNgobatin bete #StartUpEp16 ku rekomen drama ini\xf0\x9f\x98\x8e https://t.co/8I281h5cos'"
21,2020-12-12 15:01:56+00:00,"b'Start up ; done\n\n#StartUpEp16\n#TeamGoodBoy jujur walaupun menyakitkan\n#TeamNamDoSan setiap kritikan orang, ubah jadi motivation. https://t.co/W9OMmZ5XL9'"
22,2020-12-12 14:39:25+00:00,b'Gak bisa move on sama kata kata si nenek \xf0\x9f\x98\xad #StartUpEp16 https://t.co/2l0jKDAsZ6'
23,2020-12-12 13:38:17+00:00,"b'#StartUp Endingnya sesuai banget ama ekspetasi, ter luvv ama #StartUpEp16 , krn biasanya kalo nonton aku tu selalu jadi pihak yang bertolak belakang ama orang2 /tokoh utamanya, jadi suka nyesek sendiri krn beda ama pendapat org org , tapi fixx start up tau banget selera aku \xf0\x9f\x92\x9b https://t.co/nqXRxCa2ZR'"
24,2020-12-12 10:43:59+00:00,"b'Klau ayahnya dalmi nyebrang setelah lampu hijau, gak tabrakan, gak mati, dalmi jd ank org kaya, dn jd salah 1 founder sandbox. Jipyeoung tinggal sm nenek / bisnis bareng si ayah. Ntar cinta segitiganya jd  HJP-Dalmi-Injae \xf0\x9f\x98\x81\xf0\x9f\x99\x83.\n*blum muvon\n#StartUpEp16 #StartUpfinale #startup'"
25,2020-12-12 10:00:24+00:00,b'Nanti ke Bali sama aku ya oppa Kim Seon Ho #StartUpEp16 #pakhan #jipyeong https://t.co/3hHdBjqpPb'
26,2020-12-12 01:53:43+00:00,b'Start-up.\n\nKalian team Nam Do San atau Team Han Ji-pyeong?\nKalau aku team belum nonton \xf0\x9f\x98\x85\n\n#startup #art #StartUpEp16 #Netflix https://t.co/AScWL8jYyu'
27,2020-12-12 01:34:02+00:00,"b'Shopee 12.12\n\nRESTOCK START UP FANKIT, HANYA 30K DAPAT SEBANYAK INI!!!!\xe2\x9c\xa8\xe2\x9c\xa8\n\nStock terbatas, jangan sampai kehabisan!\xe2\x9c\xa8\n\nhttps://t.co/boX4QhNiDx\n\n#StartUpEp16 #startup Promo 12.12 Shopee #BesokPuncak1212 Besok 12.12 #Nunggu1212  #Shopee1212\nhttps://t.co/Pgp29MWJkG'"
28,2020-12-12 00:06:06+00:00,"b'awalnya aku tim dosan trs tim jipyeong dan aoleng lagi tim dosan setelah balik dari amerika yaampun gtg bgt, damagenya dosan bener2 real. selanjutnya rebutan antara tim suho sama tim seojun. btw bagus banget drama ini aaaahhh gabisa move on ni\n#StartUpEp16 \n#NamDoSan #SeoDalmi https://t.co/kAA3aznu62'"
29,2020-12-12 00:00:59+00:00,"b'Pesan sederhana yg dari awal ingin di sampaikan penulis :\nTo change the world, follow your dream.\n\n#StartUpEp16 \n#NamDoSan \n#SeoDalmi https://t.co/m6Nmj9vRBh'"
30,2020-12-11 22:09:24+00:00,"b'Yuk mumpung lagi gratis ongkir, Sticker ukuran A6\xf0\x9f\x98\x8a kindly check my shopee https://t.co/NTMewClFKh #PuncakShopee1212\n#Reply1988 #StartUpEp16 #HospitalPlaylist #WelcomeToWaikiki2 #waikiki #loona #Shopee1212 https://t.co/sxQnF5mphY https://t.co/TsAOU451Ol'"
31,2020-12-11 17:40:34+00:00,"b'OHHHH patutlah Ji-pyeong kata ""I like your voice"" hahahahahah bodolah drama ni\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 #StartUpEp16'"
32,2020-12-11 17:33:58+00:00,"b'Shopee 12.12\n\nRESTOCK START UP FANKIT, HANYA 30K DAPAT SEBANYAK INI!!!!\xe2\x9c\xa8\xe2\x9c\xa8\n\nStock terbatas, jangan sampai kehabisan!\xe2\x9c\xa8\n\nhttps://t.co/boX4QhNiDx\n\n#StartUpEp16 #startup Promo 12.12 Shopee #BesokPuncak1212 Besok 12.12 #Nunggu1212 https://t.co/Pgp29MWJkG'"
33,2020-12-11 16:18:28+00:00,b'#StartUpEp16 tim gasuka cowo lain dibibir lain dihati. tim gasuka cowo gengsian. tim suka cowo terus terang. tim suka cowo jujurr https://t.co/CsSH5Mnkk4'
34,2020-12-11 15:56:17+00:00,"b'Karena acara, hadiah, jadi delivery man dan LPJ. Maka #StartUpEp16 baru ditonton sekarang https://t.co/mraCtbWxxS'"
35,2020-12-11 15:01:52+00:00,b'Yeayy dah habis\n#StartUpEp16'
36,2020-12-11 14:58:47+00:00,"b'hallo gais, please support us guys!\nbantu usaha rintis aku, biar kaya seodalmi haha\n\n#SeoDalmi #NamDoSan #StartUpEp16 #jipyeong #snack #box #gift #birthday #graduation #boyfriend #snackboxbogor #snackboxjakarta #snackboxdepok #snackboxbandung #LazadaGrandShow1212 https://t.co/HtQGOhgJJx'"
37,2020-12-11 14:58:42+00:00,"b'\xf0\x9f\x91\xa6 : ""aku ateis""\n\xf0\x9f\x91\xa7 : ""aku juga tidak terlalu beriman, tapi menurut sepengalamanku berdoa akan membuat ini berhasil"" \n\n-See? Agama tu tentang pengalaman pribadi dengan Tuhan, jadi tidak perlu bertengkar, pengalaman orang tu beda""-\n#StartUpEp16'"
38,2020-12-11 14:34:40+00:00,b'Setelah Han Jipyong \nTerbitlah Han Seojun \n\nIni para marga Han terlahir jadi Second Lead dan sadboy ya \xe2\x9c\x8a\xf0\x9f\x98\xad\n\n#TrueBeautyEp2 \n#StartUpEp16'
39,2020-12-11 14:24:36+00:00,"b'Dosan dalmi, penganten baru..hihiw\n#StartUpEp16 #artidn #lineart #doodle #zonakaryaid https://t.co/GQ8IMw11Lz'"
40,2020-12-11 14:10:31+00:00,"b'@YEOJlNGO #YeoJingoo on #StartUpEp16 is real. Gemes banget, liat groginya jino di start up menghadapi pak han \xf0\x9f\xa5\xba\xf0\x9f\xa5\xba\xf0\x9f\xa5\xba \n\nSelamaaaaaaatt mimpi mu terwujud \xf0\x9f\xa4\xa9'"
41,2020-12-11 13:58:01+00:00,b'TAMAT #StartUpEp16 https://t.co/4pw8YstgwM'
42,2020-12-11 13:56:23+00:00,b'baru smpt nonton #StartUpEp16 #StartUpEpFinal \nudh tamat aja. gak rela\xf0\x9f\x98\xad https://t.co/pTFaSAkTX5'
43,2020-12-11 13:40:02+00:00,b'Akhirnya ngelarin #StartUpEp16 \n\nGanyangka aja konflik berepisode lamanya bisa selesai dalam kurun waktu 1 jam dana mulus!!!!!\n\nSee ya guys di project selanjutnya #Suzy #NamJooHyuk #KangHana #HanJiPyeong https://t.co/eGW4mp62DZ'
44,2020-12-11 12:20:01+00:00,"b'biasanya klo sdh jumat..pasti udah g sabar nungguin sabru malam, mau liat2 anak2 sandbox kerja \xf0\x9f\x98\x81 #StartUpEp16'"
