,Date,Tweet
0,2020-12-09 16:07:00+00:00,"b'Jadi JKN yang ada di #StartUpEp2 itu beneran ada atau fiktif? Drakornya udah tamat, lagunya gak rilis-rilis. :('"
1,2020-12-15 07:00:00+00:00,"b'""[Advent calendar] What is your favourite Christmas song? \xf0\x9f\x8e\xb6\nAt Goetheweg the cover band ""Swinging Ahab\'s"" is rehearsing Christmas songs. CClick here to find out what happens and get a chance to win by entering our contest \xf0\x9f\x91\x87\n#GoetheAdvent2020\nhttps://t.co/ExEHuuAxSr'"
2,2020-12-08 04:40:13+00:00,b'Keberadaanmu saja cukup bagiku...\nKarena aku percaya dan yakin...\nKalau kita akan dipertemukan...\nEntah di dunia atau di akhirat kelak...\n\n#StartUp #StartUpEp2 #\xec\x8a\xa4\xed\x83\x80\xed\x8a\xb8\xec\x97\x85 https://t.co/qO2lbyc7iu'
3,2020-12-07 16:17:35+00:00,b'#StartUpEp2 agak menyeronokkan nya \xf0\x9f\x98\x97 tak shabar nak tengok ep3 pulak'
4,2020-12-06 16:22:49+00:00,b'Tanpa Ji-Pyeong Dosan sama Dal-mi cuma sebatas COD-nan bola baseball doang. #StartUpEp2'
5,2020-12-05 09:03:54+00:00,b'Ternyata apart nya pak #HanJiPyeong pernah dipake #SeoYeJi di drama #itsokaynottobeokay dan papa nya #dalmi jadi asisten nya #SeoYeJi. Coba bandingin apartnya sama #StartUpEp2 sama bet\n\n#StartUpEp15 https://t.co/q34mLXXSJ7'
6,2020-11-30 17:21:38+00:00,b'baru nonton #StartUpEp2 langsung milih jadi #TeamJiPyeong \xf0\x9f\x98\x8c'
7,2020-11-29 17:11:44+00:00,b'#StartUpEp2\n\nAmbilis ng oras...yung antok ko pasaway.\nMamaya naman..... https://t.co/GpRZn6Phzu'
8,2020-11-25 17:09:47+00:00,b'Nam Do San yang semakin hensem eeeiy \xf0\x9f\x8c\x88\n#StartUpEp2'
9,2020-11-25 13:52:53+00:00,b'@wraitheIaIvez #StartUp #StartUpEp1 #StartUpEp2 #StartUpEo3 #StarrUpEp4 #StartUpEp5 #StartUpEp6 #StartUpEp7 #StartUpEp8 #StartUpE9 #StartUpEp10 #StartUpEp11 #StartUpEp12 #StartUpEp13 #HanJipyeong #seonho HHAHSHSHSSHAHW'
10,2020-11-23 04:40:41+00:00,b'Lg puasa boleh nangis ga sih.. ku kan jd  syediihh :(((( #StartUpEp2 https://t.co/6pzfUKIgam'
11,2020-11-22 03:59:32+00:00,b'OST #StartUp part 12 akhirnya rilis kemarin !!! Siapa nih yang udah nungguin dari zaman #StartUpEp2 ??? Akhirnya bisa denger versi full nya yaaa \xf0\x9f\x92\x9c\n\n#StartUpEp11 #timjipyeong #TimDoSan #KimSeonHo #NamJooHyuk #SeoDalmi #HanJipyeong #Suzy #NamDoSan https://t.co/B5tzsnPYQv'
12,2020-11-18 09:13:17+00:00,"b'Mari kita mendengarkan lagu ini\nSemoga vibe suatu perjuangan yang melelahkan, penuh pengorbanan dan derai air mata menjadi sebuah moment dan harapan yang tercapai dengan penuh rasa syukur.\n.\n.\n#StartUpEp2 https://t.co/9jjqVP0iYr'"
13,2020-11-16 13:43:29+00:00,b'Me cakap pada diri sendiri. \xf0\x9f\x98\xad\xf0\x9f\x98\xad\n #StartUpEp2 https://t.co/tw59EE6Enc'
14,2020-11-16 12:41:40+00:00,b'Damn ang bagal mo naman kasi! \xf0\x9f\x98\xb1\xf0\x9f\x98\xb1 #StartUpEp2 #StartUpEp'
15,2020-11-16 07:26:45+00:00,b'Bengek kek orang gila\xf0\x9f\x98\xad dosan ga ngerti obrolan pebisnis trs disuruh jipyeong ngomong ngasal pake lirik lagu kebangsaan korea\xf0\x9f\x98\xad #startupep2 https://t.co/AmrhPDlmLv'
16,2020-11-15 15:35:08+00:00,b'Puyat puyat \xe3\x85\x8b\xe3\x85\x8b\xe3\x85\x8b\xe3\x85\x8b\xe3\x85\x8b\xe3\x85\x8b\xe3\x85\x8b\n#StartUpEp2 https://t.co/KGjJoSTb0I'
17,2020-11-15 13:36:34+00:00,b'Baru nonton #StartUpEp2 sudah terharu gini.'
18,2020-11-15 06:15:29+00:00,"b'@espresssyo Selesai #StartUpEp2 sejauh ini tim han ji pyeong. Kalo aku jadi dia, aku langsung hubungi lah dalmi, bilang kalo dulu pake nama samaran dan dikenalin nenek. Kerjaan ada, rumah ada, mobil ada, bener kata si nenek, kurang wanita aja. Lagian knp si nenek nggak kenalin aja sih! Kzl'"
19,2020-11-12 01:00:08+00:00,"b'Untung pas Won In Jae reuni sama Seo Dal Mi ga bilang ""Hape gue aipon hape lu apa? Vipo ya? Salah milih lu dulu"" #StartUp #StartUpEp2 baru mulai maap'"
20,2020-11-11 14:11:51+00:00,b'ANG GWAPO NI NAM JOOHYUK JUSKOPO #StartUpEp2'
21,2020-11-11 14:05:36+00:00,b'Ayoko pang maging crush si Nam Joohyuk \xf0\x9f\x91\x89\xf0\x9f\x91\x88 #StartUpEp2'
22,2020-11-11 07:38:24+00:00,b'@juIiannx #StartUpEp2 ba toh :&gt;'
23,2020-11-10 13:28:41+00:00,b'Jangan jadikan pendapat orang lain menjadi kenyataan mu. \n\n#StartUpEp2'
24,2020-11-09 15:29:33+00:00,b'gemeshhh bgttt yaampunnn \xf0\x9f\xa5\xba\xf0\x9f\xa5\xba\xf0\x9f\x92\x9b #StartUpEp2 https://t.co/KVxT2NepMC'
25,2020-11-09 12:23:10+00:00,b'Jangan biarkan pendapat seseorang menjadi kenyataanmu #StartUpEp2'
26,2020-11-09 11:02:26+00:00,b'CEO of naik sepeda pancal \xf0\x9f\x98\x8d #StartUpEp2 #NamJooHyuk #NamDoSan https://t.co/YgwYt8jpz6'
27,2020-11-08 21:23:16+00:00,"b'#Jipyeong itu definisi \'\' MenyayangiMu dari Jauh "" \xf0\x9f\x98\x94 #timjipyeong #StartUp #StartUpEp8 #StartUpEp7 #StartUpEp6  #StartUpEp5 #StartUpEp4 #StartUp3 #StartUpEp2 #StartUpEp1 #StartUpEp9 #DramaKorea https://t.co/xabqrZSVUb'"
28,2020-11-08 18:44:09+00:00,b'tuhan knp namju ganteng bgt? \xf0\x9f\xa4\xa7\xf0\x9f\xa4\xa7\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x92\x94\xf0\x9f\x92\x94\xf0\x9f\x92\x94\xf0\x9f\x92\x94\n\n#StartUp \n#StartUpEp2 https://t.co/bkOR39oMPY'
29,2020-11-08 16:34:51+00:00,b'Ganda si talaga Suzy #StartUpEp2 https://t.co/fhHndT1t4l'
30,2020-11-07 14:55:42+00:00,b'kehadiran Do San tetep jadi scene yg paling cantik dan menyedot perhatian\nDengan kata lain semakin pastilah Ji Pyeong akan jadi sad boy\xf0\x9f\x98\x8c\n\n#StartUp \n#StartUpEp2'
31,2020-11-07 00:21:25+00:00,"b'Flashback ke #StartUp #StartUpEP2 punya baju yang mirip-mirip ji pyeong tapi buat cewek, ini blazer ya guys dan bisa kalian cek di https://t.co/nq4a5beIRL https://t.co/suVU3LtPZe'"
32,2020-11-06 15:22:52+00:00,b'Hal baik yg dapat dipetik dari sebuah film\n\n#StartUp \n#StartUpEp2 https://t.co/1gVG0bSitH'
33,2020-11-06 11:29:58+00:00,b'hehehee gimana2..... \xf0\x9f\xa5\xba\xf0\x9f\x98\x86 #StartUpEp2 https://t.co/UKsHHnVI2X'
34,2020-11-06 05:17:06+00:00,b'Pag pinoy CR talaga hinahanap sa coffee shop ahahaha #StartUpEP2'
35,2020-11-05 05:51:52+00:00,"b'Bangun #startUp bermodalkan hacker doang, namanya bunuh diri. Minimal harus ada hustler, kalo bisa ada hipster juga. #StartUpEp2 https://t.co/nIj2Ww0R0J'"
36,2020-11-05 03:35:30+00:00,b'gue bgt \xe2\x98\xb9\n\n#StartUp #StartUpEp2 https://t.co/3rh5SIxC7f'
37,2020-11-04 14:08:50+00:00,b'time ni seriously tak boleh tahan gelak \xf0\x9f\x98\x82\n#StartUpEp2 https://t.co/tA6vGjWmxS'
38,2020-11-03 10:15:06+00:00,"b'Tolooong, aku ngakak part ini \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\n\n#StartUpEp2 https://t.co/m0LhuVBxPY'"
