,Date,Tweet
0,2020-12-15 15:08:12+00:00,"b'me rn, 100% wanna watch startup!\nhonestly, start up sebagus itu baru eps 1 dah nangis, hehehe\n#startup #StartUpEP1 https://t.co/g2HCFberqv'"
1,2020-12-05 16:54:42+00:00,b'He wins a knife fight - but loses something else. Read our latest story at https://t.co/VqaAbdPJvd.'
2,2020-12-09 10:06:29+00:00,b'Sumpah aku pas di scene ini nangis berasa mamaku yg dibentak-bentak Ji Pyeong \xe3\x85\xa0\xe3\x85\xa0 #StartUpEp1 https://t.co/yqsM6JmziS'
3,2020-12-09 05:29:34+00:00,b'#startupEp1 #koreandrama baru tengok sikit dah sakit hati. Duit lebih penting dari segalanya... Inilah yang saya lalui sekarang.'
4,2020-12-09 02:40:47+00:00,b'Tadinya bingung mau nntn yang mana dulu Antara 18 again / Start Up ehhh  kepincutnya sama bae Suzy sama Nam Joo Hyuk \xf0\x9f\x98\x8d\xe2\x9d\xa4\xef\xb8\x8f\n#StartUpEP1 dulu https://t.co/CVkYRm9Fev'
5,2020-12-08 16:58:26+00:00,b'Ampogiiiiiii!!! \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84\n\n#StartUp\n#StartUpEp1\n#HanJiPyeong \n#KimSeonHo https://t.co/KjElYYW1a7'
6,2020-12-08 01:18:19+00:00,b'Aku yang #TimDoSan tapi tidak pernah skip menangis ketika scene halmeoni x han jipyeong. Ternyata #StartUpEp16 gakalah bikin nangisnya kayak #StartUpEp1'
7,2020-12-06 16:28:01+00:00,b'Mari kita nonton #StartUpEp1 karena sudah tamat ges'
8,2020-12-06 16:24:47+00:00,"b'Belajar bgt ttg merelakan dari kesayangan aku #jipyeong gereget akutuh geregeeet bgt.. seikhlas itu jipyeong ngelepas dalmi, padahalkan si dosan gak bakal ketemu dalmi kalo gak ada kesayangan aku...\nAku dibuat gila ketulusan jipyeong dari #StartUpEp1 sampe #StartUpEp16'"
9,2020-12-06 16:22:49+00:00,"b'Kalau dari awal Ji-Pyeong pake namamya sendiri buat nulis surat namanya bakal ganti jadi ""End Before Start"" #StartUpEp1'"
