,Date,Tweet
29,2020-12-01 09:09:53+00:00,b'#StartUpEp12 sedih \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad'
30,2020-12-01 03:49:19+00:00,"b'Biar adil ending nya #StartUpEp12 dibikin kayak Kuch"" Hota Hai aja.\nJd nanti #Dalmi Nikah ama #Dosan, mereka pindah ke Amrik, trs punya anak. \nDosannya meninggal, trs anaknya mereka iku camp bisnis mentornya #Jipyeong Lalu cinlok lah mereka.\nUdah adil kan dpt Dalmi semuanya \n\xf0\x9f\x98\x82\xf0\x9f\x98\x82'"
31,2020-11-30 06:03:55+00:00,b'dosan pulang yug mending pukul alex aja\n\n#StartUpEp12 https://t.co/x8QkIG51X2'
32,2020-11-30 02:01:54+00:00,"b'Jika kamu tidak bisa mengalahkan musuhmu, maka jadilah pasukannya. -Han Ji Pyeong- \n\n#TeamJiPyeong\n#StartUpEp12\n\xe2\x98\x86\n#StartUpEp13 \n#StartUpEp14 https://t.co/FaVa4irQth'"
33,2020-11-29 22:04:13+00:00,"b'been watching #StartUp, up to #StartUpEp12 but I still tak faham kenapa ada yang kata drama ni sedih sangat sampai nangis every episode after 10.............'"
34,2020-11-29 16:11:56+00:00,b'Papepun scene ni memang aku ciwek teruk thial\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad #StartUpEp12 https://t.co/y2w2yovDtB'
35,2020-11-29 16:11:16+00:00,"b'#StartUpEp12 ni banyak scene sedih siut. Lepas satu scene sedih, scene sedih lagi satu pulak. Basah thial bantal aku aduh\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xe2\x98\x9d'"
36,2020-11-29 14:50:04+00:00,b'@radenrauf Stress bgt om liat #StartUpEp12 \nIkutan frustasi. \nEmang bener dah.. JATUH CINTA PADA SECOND LEAD ADALAH PATAH HATI YANG PALING DISENGAJA.'
37,2020-11-29 13:13:55+00:00,"b'Plissss ya Allah, aku bisa sakit klo begini. Penyakit halu yg gada obatnyaaaaa #HanJiPyeong #startupeps13 #episode13 #Dosan #NamDoSan #StartUpEp12 https://t.co/XWJAvNEtYB'"
38,2020-11-29 12:54:28+00:00,b'Baru ngerasain gimana kesel nya orang\xc2\xb2 (terutama tim JP) sama dosan di #StartUpEp12 \n\nNangis sampe sesek banget dari JP dipukulin sampe dipeluk halmeoni. Astagaaa cuma drakor doang\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad'
39,2020-11-29 07:49:01+00:00,"b""Siapa nih yg #TeamJiPyeong ? Don't let this flop guys\xf0\x9f\xa5\xba #HanJiPyeong #NamDoSan #TeamDosan #StartUp #StartUpEp13 #StartUpEp12 #kdrama #dramakorea #SeoDalmi #BaeSuzy #NamJooHyuk #KimSeonHo https://t.co/dtdx14dXX0"""
40,2020-11-29 02:33:49+00:00,b'Kok #StartUpEp12 begini \xf0\x9f\x98\xad\xf0\x9f\x98\xad'
41,2020-11-28 20:49:12+00:00,b'Lemah banget nonton #StartUpEp12 Pak Han nangis gini aj gw mewek https://t.co/peNRjg0XhX'
42,2020-11-28 17:49:26+00:00,b'Skip #StartUpEp12 langsung #StartUpEp13 yang banyak banget senyum Pak Han Jipyeong nyaaa \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d https://t.co/hJ9KcYwwSZ'
43,2020-11-28 16:42:19+00:00,b'Startup kayaknya emang pantes tamat di #StartUpEp12 aja sudah....\xf0\x9f\x98\x82'
44,2020-11-28 15:47:51+00:00,b'HOY NAM DO SAN!!!!!!!!!!!!!!!!!!!! BAKIT GINAGANYAN MO SI JI PYEONG TANGENAH ANG SAKIT SA PUSO \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad AFTER NG LAHAT LAHAT TANGENAH. #teamhanjipyeong  #StartUpEp12'
45,2020-11-28 13:45:04+00:00,"b'Sambil nunggu #StartUpEp13. Pertandingan terakhir di #StartUpEp12 Do san masih unggu 3 - 2 atas Han Ji pyeong. Menarik ditunggu bagaimana kelanjutannya, setelah Do san berangkat ke US'"
46,2020-11-28 13:26:41+00:00,b'Konting kembot na lang!! \xf0\x9f\x98\x8c \n#StartUpEp12 \n#StartUp'
47,2020-11-28 13:17:36+00:00,b'[HEADLINE] 5 Pelajaran Teladan Dari Won In-jae di Drama Start Up\n#StartUp #StartUpEp13 #StartUpEp12 #Startup13 #SeoDalmi #NamDoSan #namdosanteam #HanJiPyeongTeam #BaeSuzy #KangHanNa #NamJooHyuk #samsantech #InJae #drakor #kpop \n https://t.co/9vSW8kcLFd'
48,2020-11-28 12:06:12+00:00,"b'#StartUpEp12 scene Dal-mi minta Do-san buat ngelupain dia dan ngejar mimpinya ke Silicon Valley\xf0\x9f\xa5\xba\n\nMenuju jam 9, siap-siap buat episode 13! https://t.co/8pMjDNzron'"
49,2020-11-28 10:56:48+00:00,b'#StartUpEp12 scene lps Ji Pyeong tau condition haelmoni tu sedih wehhh\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad'
50,2020-11-28 10:50:36+00:00,b'#StartUpEp12 Dah pukul2 Ji Pyeong pastu ko nak mintak tlg dri dia pulak'
51,2020-11-28 10:47:54+00:00,b'#StartUpEp12 eh ehh geram plak ak ngn Do San ni..korg yg salah x baca contract btol2 then bila dpt offer tu lgsg x contact inform Ji Pyeong pastu tiber nk emo lbih2 marah kat Ji Pyeong bila Ji Pyeong gtau psl situation dorg. Terima jela kenyataan tu.'
52,2020-11-28 10:22:30+00:00,b'eps 12 yang penuh air mata ya bund #StartUpEp12 https://t.co/c2IbBvdN6O'
53,2020-11-28 07:11:33+00:00,b'WOI INI KPN JDIANNYA TBTB PUTUS \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad #StartUpEp12 https://t.co/6QHUlsmNZp'
54,2020-11-28 04:25:10+00:00,"b'di akhir #StartupEp12 nasib NoonGil buatan #samsantech berada di tangan 2STO, prediksi #drakorclass sih NoonGil akan tetap jalan terus dengan fitur tambahan'"
55,2020-11-28 03:40:04+00:00,b'Kadang perlu beberapa tetes air mata agar senyum bisa mekar lebih indah:)\n#StartUp #StartUpEp12 #timjipyeong #TimDoSan #quotes https://t.co/PuT81ME5iS'
