,Date,Tweet
0,2020-12-15 13:11:00+00:00,b'Gaes penonton #StartUpEp16 #StartUpEp15 #startupep14 #StartUpEp9 episode berapa sih yg membuat kalian lebih semangat menjlani hidup... yg pesanny kek nyes banget.. soalny aku mau buat konten nih.... aku bingung..'
1,2020-12-13 17:00:01+00:00,b'Next year could be decisive for the world \xf0\x9f\x8c\x8f. 2020 has taught us that we need to work together for a stronger response and show that we can build back better.\n\nJoin in. Be the change.'
2,2020-12-15 13:08:14+00:00,"b'Alah Dalmi, dah break dengan Dosan 3 tahun kot. Takkan tak move on lagi.\n\nApalah campur urusan kerja &amp; peribadi. Kah.\n\n#startupep14'"
3,2020-12-15 10:37:47+00:00,"b'Ya emang gitu, kalau suka ungkapin aja. Daripada mengulur waktu berakhir patah hati.\n#startupep14 https://t.co/VkPWEEhqr4'"
4,2020-12-13 04:10:32+00:00,b'#startupep14 lanjut gak ya tnggal 2 episode nih https://t.co/0QEtEeJAbJ'
5,2020-12-10 15:28:45+00:00,b'aku ngetik nya di sana yach nti di sini ngga ckp malah hihic #StartUp #startupep14 https://t.co/HDV26UALF0'
6,2020-12-10 10:17:18+00:00,"b'sumpah han jipyeong baik banget gue heran, padahal kalo mau kan bisa tuh set set wet wet mumpung lagi renggang ckckck #StartUp #StartUpEp14 dikasih hashtag biar ga spoiler kali aja lewat di tl kalian xixix https://t.co/21iS5Nkk5u'"
7,2020-12-07 14:09:17+00:00,b'best boy han ji pyeong #StartUpEp14'
8,2020-12-07 11:10:51+00:00,"b'gue gk liat, gue gk cembokurrr.... gue lg dgrin musik! sdgjlfaadjkhs #StartUpEp14 https://t.co/PeR5x66gZI'"
9,2020-12-07 08:52:43+00:00,b'hmm... iya itu aq #StartUpEp14 https://t.co/0RfGhsahCW'
10,2020-12-06 23:59:53+00:00,b'napakasinungaling talaga ni ji pyeong???? #StartUpEp14'
11,2020-12-06 16:31:13+00:00,b'#StartUpEp14 emang paling bener kalo di sekip! -__ #StartUpFinale https://t.co/kIanVLHvaC'
12,2020-12-06 16:22:55+00:00,b'Dal-mi kalau mau pacaran sama yang tangannya gede sama Hulk aja. #StartUpEp14'
13,2020-12-06 14:52:19+00:00,b'Pengen lanjut start-up garagara liat ini tapi apadaya yg ep 14 15 aja belom:(\n#StartUpEp16 \n#StartUpEp15 \n#StartUpEp14 https://t.co/lPlm9R2Bvk'
